#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_GB,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Action,Category name,Item number,Title,Listing site,Currency,Buy It Now price,Relationship,Relationship details,Custom label (SKU),Available quantity,Start price
Revise,Mirrors (20580),406140405400,Full Length Mirror Floor Standing or Wall Mount Dressing Mirror Bedroom Black,UK,GBP,,,,831-387,30.0,60.99 GBP
Revise,Strollers (116380),406140405488,Pet Stroller Foldable Travel Carriage w/ Brake Basket Canopy,UK,GBP,,,,D00-127GY,30.0,51.99 GBP
Revise,Fences & Pens (20748),406140405499,Pressure Fitted Pet Dog Safety Gate Metal Fence Extending 72-107cm Wide,UK,GBP,,,,D06-058,30.0,37.99 GBP
Revise,Gazebos & Pergolas (180995),406140405512,3(m) 2 Tier Garden Gazebo Top Cover Replacement Canopy Roof Light Grey,UK,GBP,,,,84C-041GY,30.0,28.99 GBP
Revise,Bathroom Cabinets (176991),406140405516,60x60cm Under-Sink Storage Cabinet w/ Adjustable Shelf Grey White,UK,GBP,,,,834-279,30.0,39.99 GBP
Revise,Dried & Artificial Flowers & Plants (4959),406140405520,2 PCs Artificial Lisianthus Flower Hanging Planter Basket,UK,GBP,,,,844-360,30.0,24.99 GBP
Revise,Dumbbells (137865),406140405530,Hexagonal Dumbbells Kit Weight Lifting Exercise for Home Fitness 2x10kg,UK,GBP,,,,A91-019V01,30.0,39.99 GBP
Revise,"Bookcases, Shelving & Storage (3199)",406140405629,5-Tier Wall Display Shelf Unit Cabinet w/ Shelves Glass Doors White,UK,GBP,,,,833-761WT,0.0,42.99 GBP
Revise,Dried & Artificial Flowers & Plants (4959),406140405630,Set Of 2 90cm Artificial Bay Laurel Topiary Trees w/Pot Fake Plant,UK,GBP,,,,844-364V01,30.0,38.99 GBP
Revise,Fences & Pens (20748),406140405634,74-84cm Adjustable Metal Pet Gate Safety Barrier w/ Auto-Close Door Black,UK,GBP,,,,D06-094,30.0,32.99 GBP
Revise,Dried & Artificial Flowers & Plants (4959),406140405650,"Set of 2 Artificial Topiary Bay Laurel Ball Trees in Pot Indoor Outdoor, 120cm",UK,GBP,,,,844-364,30.0,45.99 GBP
Revise,"Bookcases, Shelving & Storage (3199)",406140405657,5-Tier Wall Display Shelf Unit Cabinet w/ Shelves Glass Doors Black/White,UK,GBP,,,,833-761BK,30.0,42.99 GBP
Revise,"Cages, Hutches & Enclosure (63108)",406140405658,5 Tier Hamster Cage Carrier Habitat w/ Exercise Wheels Ladders Orange,UK,GBP,,,,D51-214,30.0,29.99 GBP
Revise,Tool Boxes (33089),406140405683,3 Tier Metal Toolbox with 5 Tray Carry Handle 45cmx20cmx34.5cm Red,UK,GBP,,,,B20-079RD,30.0,31.99 GBP
Revise,Sideboards & Buffets (183322),406140405699,Rubber Wood Top Kitchen Cupboard Side Cabinet Island w/Adjustable Shelf,UK,GBP,,,,835-144,30.0,71.99 GBP
Revise,Agility Training (116383),406140405718,Dogs 4-Obstacle ABS Agility Training Set Yellow/Red,UK,GBP,,,,D07-024,30.0,49.99 GBP
Revise,Shower & Bath Seats (129588),406140405735,"360 Degree Swivel Shower Stool with Non-Slip Feet for Disabled, Grey",UK,GBP,,,,713-076,30.0,20.99 GBP
